 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
80,20200626004-1-1-1-S7.2.jpg,0.073,255,0.899,1.000,1.551,0.645,0.909
81,20200626004-1-1-1-S7.2.jpg,0.051,255,0.778,1.000,1.069,0.936,0.875
82,20200626004-1-1-1-S7.2.jpg,0.470,255,2.776,0.767,1.390,0.719,0.877
83,20200626004-1-1-1-S7.2.jpg,1.962,255,6.885,0.520,1.180,0.848,0.723
84,20200626004-1-1-1-S7.2.jpg,3.343,255,11.455,0.320,2.727,0.367,0.688
85,20200626004-1-1-1-S7.2.jpg,4.033,255,10.953,0.423,1.951,0.513,0.688
86,20200626004-1-1-1-S7.2.jpg,1.300,255,4.139,0.954,1.193,0.838,0.939
87,20200626004-1-1-1-S7.2.jpg,0.184,255,1.484,1.000,1.230,0.813,0.909
88,20200626004-1-1-1-S7.2.jpg,4.144,255,8.913,0.655,1.585,0.631,0.849
89,20200626004-1-1-1-S7.2.jpg,2.131,255,6.601,0.614,2.618,0.382,0.875
90,20200626004-1-1-1-S7.2.jpg,4.592,255,10.355,0.538,1.946,0.514,0.768
91,20200626004-1-1-1-S7.2.jpg,0.624,255,2.847,0.968,1.133,0.883,0.909
92,20200626004-1-1-1-S7.2.jpg,1.021,255,3.754,0.911,1.096,0.912,0.942
93,20200626004-1-1-1-S7.2.jpg,0.580,255,2.876,0.882,1.597,0.626,0.929
94,20200626004-1-1-1-S7.2.jpg,0.433,255,2.333,1.000,1.143,0.875,0.901
95,20200626004-1-1-1-S7.2.jpg,0.073,255,0.970,0.982,1.643,0.608,0.800
96,20200626004-1-1-1-S7.2.jpg,0.059,255,0.828,1.000,2.000,0.500,1.000
97,20200626004-1-1-1-S7.2.jpg,17.273,255,19.017,0.600,1.463,0.683,0.838
98,20200626004-1-1-1-S7.2.jpg,0.441,255,2.868,0.674,2.033,0.492,0.774
99,20200626004-1-1-1-S7.2.jpg,7.633,255,12.638,0.601,1.972,0.507,0.816
100,20200626004-1-1-1-S7.2.jpg,0.220,255,1.777,0.877,1.596,0.627,0.870
